Concept URI,Concept URN,prefLabel,altLabel,Definition,Concept version,Deprecated,Version date and time
http://vocab.nerc.ac.uk/collection/R27/current/SBE41_V2.6/,SDN:R27::SBE41_V2.6,Sea-Bird Scientific SBE 41 CTD V2.6,SBE41_V2.6,"A system comprising temperature, conductivity and pressure sensors with pump-controlled, T-C ducted flow. During float ascent, spot samples are taken and transmitted to the float controller. This SBE41 model has firmware version 2.6.",2,false,2019-10-16 06:35:48.0
http://vocab.nerc.ac.uk/collection/R27/current/SBE41CP_V7.2.3/,SDN:R27::SBE41CP_V7.2.3,Sea-Bird Scientific SBE 41CP CTD V7.2.3,SBE41CP_V7.2.3,"A system comprising temperature, conductivity and pressure sensors with pump-controlled, T-C ducted flow. The unit is designed for deployment on profiling floats. This CTD operates in continuous profiling (CP) mode, thus sampling at 1 Hz during float ascent, logging the data in internal memory and transmitting to the float controller when the float reaches the surface. This SBE41CP model has firmware version 7.2.3.",2,false,2019-10-16 06:35:48.0
http://vocab.nerc.ac.uk/collection/R27/current/SBE41CP_V1.2a/,SDN:R27::SBE41CP_V1.2a,Sea-Bird Scientific SBE 41CP CTD V1.2a,SBE41CP_V1.2a,"A system comprising temperature, conductivity and pressure sensors with pump-controlled, T-C ducted flow. This CTD operates in continuous profiling (CP) mode, thus sampling at 1 Hz during float ascent, logging the data in internal memory and transmitting to the float controller when the float reaches the surface. This SBE41CP model has firmware version 1.2a.",2,false,2019-10-16 06:35:48.0
http://vocab.nerc.ac.uk/collection/R27/current/AMETEK_3000PSIA/,SDN:R27::AMETEK_3000PSIA,Ametek pressure sensor with 3000 PSIA rating,AMETEK_3000PSIA,A strain gauge pressure sensor rated to a maximum pressure of 3000 pounds per square inch absolute manufactured by Ametek.,1,false,2019-10-11 14:49:00.0
http://vocab.nerc.ac.uk/collection/R27/current/RBR/,SDN:R27::RBR,RBR unknown CTD model,RBR,Unknown CTD sensor model manufactured by RBR.,1,false,2019-10-11 14:49:00.0
http://vocab.nerc.ac.uk/collection/R27/current/SBE41_V2.5/,SDN:R27::SBE41_V2.5,Sea-Bird Scientific SBE 41 CTD V2.5,SBE41_V2.5,"A system comprising temperature, conductivity and pressure sensors with pump-controlled, T-C ducted flow. During float ascent, spot samples are taken and transmitted to the float controller. This SBE41 model has firmware version 2.5.",2,false,2019-10-16 06:35:48.0
http://vocab.nerc.ac.uk/collection/R27/current/SBE41CP_V4.4.0/,SDN:R27::SBE41CP_V4.4.0,Sea-Bird Scientific SBE 41CP CTD V4.4.0,SBE41CP_V4.4.0,"A system comprising temperature, conductivity and pressure sensors with pump-controlled, T-C ducted flow. This CTD operates in continuous profiling (CP) mode, thus sampling at 1 Hz during float ascent, logging the data in internal memory and transmitting to the float controller when the float reaches the surface. This SBE41CP model has firmware version 4.4.0.",2,false,2019-10-16 06:35:48.0
http://vocab.nerc.ac.uk/collection/R27/current/PAINE_3000PSIA/,SDN:R27::PAINE_3000PSIA,Paine pressure sensor with 3000 PSIA rating,PAINE_3000PSIA,A strain gauge pressure sensor rated to a maximum pressure of 3000 pounds per square inch absolute manufactured by Paine.,1,false,2019-10-11 14:49:00.0
http://vocab.nerc.ac.uk/collection/R27/current/SBE41CP_IDO_V2.0b/,SDN:R27::SBE41CP_IDO_V2.0b,Sea-Bird Scientific SBE 41CP CTD with an Integrated Dissolved Oxygen (IDO) sensor V2.0b,SBE41CP_IDO_V2.0b,"A system comprising temperature, conductivity and pressure sensor, as well as an electrochemical Integrated Dissolved Oxygen sensor with pump-controlled, T-C ducted flow. The unit is designed for deployment on profiling floats. This CTD operates in continuous profiling (CP) mode, thus sampling at 1 Hz during float ascent, logging the data in internal memory and transmitting to the float controller when the float reaches the surface. This SBE41CP IDO model has firmware version 2.0b.",2,false,2019-10-16 06:35:48.0
http://vocab.nerc.ac.uk/collection/R27/current/SBE41CP_V1.3/,SDN:R27::SBE41CP_V1.3,Sea-Bird Scientific SBE 41CP CTD V1.3,SBE41CP_V1.3,"A system comprising temperature, conductivity and pressure sensors with pump-controlled, T-C ducted flow. This CTD operates in continuous profiling (CP) mode, thus sampling at 1 Hz during float ascent, logging the data in internal memory and transmitting to the float controller when the float reaches the surface. This SBE41CP model has firmware version 1.3.",2,false,2019-10-16 06:35:48.0
