Concept URI,Concept URN,prefLabel,altLabel,Definition,Concept version,Deprecated,Version date and time
http://vocab.nerc.ac.uk/collection/R26/current/TURNER_DESIGN/,SDN:R26::TURNER_DESIGN,Turner Designs,TURNER_DESIGN,"A manufacturing company located in San Jose, California (United States of America), specialised in the supply of fluorometers for environmental and industrial uses.",1,false,2021-02-11 14:21:39.0
http://vocab.nerc.ac.uk/collection/R26/current/AMETEK/,SDN:R26::AMETEK,Ametek Process Instruments,AMETEK,Organisation e-mail: Unavailable; Organisation website: http://www.ametekpi.com,1,false,2019-10-11 15:08:43.0
http://vocab.nerc.ac.uk/collection/R26/current/MBARI/,SDN:R26::MBARI,Monterey Bay Aquarium Research Institute,MBARI,"A non-profit oceanographic research centre located in Moss Landing, California (United States of America), with a technology unit dedicated to the development of oceanographic instruments and platforms.",1,false,2021-02-11 14:21:39.0
http://vocab.nerc.ac.uk/collection/R26/current/APL_UW/,SDN:R26::APL_UW,"University of Washington, Applied Physics Laboratory",APL_UW,Organisation e-mail: webadmin@apl.washington.edu; Organisation website: http://www.apl.washington.edu/,1,false,2021-02-11 14:21:39.0
http://vocab.nerc.ac.uk/collection/R26/current/RBR/,SDN:R26::RBR,RBR Ltd,RBR,"A Canadian designer and manufacturer of oceanographic instruments, including sensors, loggers and compact systems.",1,false,2019-10-11 15:08:43.0
http://vocab.nerc.ac.uk/collection/R26/current/Unknown/,SDN:R26::Unknown,Unknown,Unknown,"Unknown sensor maker; the use of this code should be exceptional, as the sensor maker should be known.",1,false,2021-02-11 14:21:39.0
http://vocab.nerc.ac.uk/collection/R26/current/SEAPOINT/,SDN:R26::SEAPOINT,"Seapoint Sensors, Inc.",SEAPOINT,"A worldwide supplier of underwater optical sensors located in Exeter, New Hampshire (United States of America).",1,false,2021-02-11 14:21:39.0
http://vocab.nerc.ac.uk/collection/R26/current/FSI/,SDN:R26::FSI,Falmouth Scientific Inc.,FSI,Organisation e-mail: sales@falmouth.com; Organisation website: http://www.falmouth.com/index.html,1,false,2019-10-11 15:08:43.0
http://vocab.nerc.ac.uk/collection/R26/current/DRUCK/,SDN:R26::DRUCK,Druck Inc.,DRUCK,Organisation e-mail: usa.sales@druck.com; Organisation website: http://www.druckinc.com,1,false,2019-10-11 15:08:43.0
http://vocab.nerc.ac.uk/collection/R26/current/SEASCAN/,SDN:R26::SEASCAN,"Seascan, Inc.",SEASCAN,"A small manufacturing company located in Falmouth, Massachusetts (United States of America), specialising in oceanographic research equipment.",1,false,2021-02-11 14:21:39.0
